	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
1673	1708	1750	1804	2040	AT1G20130	0.0	1.584962500721156	1.584962500721156	0.0	1.0	0.0	1.0	0.0	4
1730	1765	1809	1868	2125	AT1G20900	0.0	1.0	1.0	4.754887502163468	0.0	0.0	0.0	3.584962500721156	4
1734	1769	1813	1872	2129	AT1G20925	1.0	0.0	1.584962500721156	0.0	1.584962500721156	0.0	0.0	1.0	4
1850	1885	1931	1997	2284	AT1G22440	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	4
1852	1887	1933	1999	2287	AT1G22470	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	4
1862	1897	1943	2010	2298	AT1G22600	0.0	0.0	3.0	0.0	0.0	1.584962500721156	1.0	1.584962500721156	4
1987	2025	2074	2151	2473	AT1G24250	1.0	1.584962500721156	1.584962500721156	0.0	1.0	0.0	0.0	0.0	4
2001	2040	2089	2167	2492	AT1G24405	1.584962500721156	0.0	0.0	1.584962500721156	1.0	0.0	0.0	1.584962500721156	4
2023	2062	2111	2193	2533	AT1G25054	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	4
2042	2082	2132	2217	2569	AT1G25422	0.0	2.807354922057604	2.5849625007211556	0.0	2.0	0.0	3.0	0.0	4
2114	2155	2207	2297	2663	AT1G26790	0.0	0.0	11.181152256865566	0.0	1.0	10.291170699321858	1.584962500721156	0.0	4
2248	2293	2350	2448	2856	AT1G28550	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	4
2308	2355	2412	2513	2938	AT1G29540	0.0	0.0	1.0	0.0	2.5849625007211556	1.0	1.584962500721156	0.0	4
2388	2435	2494	2598	3034	AT1G30515	0.0	1.584962500721156	2.3219280948873617	0.0	2.0	1.584962500721156	0.0	0.0	4
2422	2473	2534	2639	3093	AT1G31050	0.0	0.0	2.0	1.0	0.0	1.584962500721156	0.0	1.0	4
2526	2577	2640	2751	3241	AT1G32510	0.0	1.584962500721156	1.0	1.0	2.0	0.0	0.0	0.0	4
2531	2582	2645	2756	3246	AT1G32560	0.0	1.0	0.0	2.5849625007211556	0.0	0.0	1.0	5.0	4
2561	2614	2679	2790	3292	AT1G33055	0.0	1.0	1.584962500721156	6.754887502163467	0.0	0.0	0.0	8.038918989292304	4
2579	2632	2697	2808	3316	AT1G33355	0.0	0.0	1.0	2.3219280948873617	0.0	2.0	0.0	1.584962500721156	4
2633	2686	2752	2866	3399	AT1G34245	1.0	0.0	0.0	1.0	2.3219280948873617	0.0	0.0	1.584962500721156	4
2651	2704	2770	2885	3423	AT1G34480	0.0	1.584962500721156	1.584962500721156	1.0	0.0	0.0	0.0	1.584962500721156	4
2657	2710	2776	2893	3436	AT1G34650	0.0	0.0	1.0	2.5849625007211556	0.0	1.0	0.0	2.0	4
2665	2718	2784	2901	3472	AT1G35183	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	4
2749	2808	2878	3001	3667	AT1G43810	1.0	1.584962500721156	1.584962500721156	0.0	2.0	0.0	0.0	0.0	4
2761	2820	2890	3014	3690	AT1G44160	0.0	0.0	1.0	2.0	0.0	1.584962500721156	0.0	2.3219280948873617	4
2803	2862	2933	3058	3751	AT1G45243	0.0	1.584962500721156	1.0	1.0	0.0	0.0	2.0	0.0	4
2817	2876	2947	3073	3772	AT1G47130	0.0	0.0	1.0	1.584962500721156	1.0	0.0	2.3219280948873617	0.0	4
2834	2893	2964	3090	3797	AT1G47400	3.584962500721156	0.0	3.700439718141092	1.584962500721156	3.700439718141092	0.0	0.0	0.0	4
2854	2913	2984	3112	3834	AT1G47760	1.0	0.0	0.0	2.3219280948873617	1.0	0.0	0.0	2.0	4
2864	2924	2997	3130	3860	AT1G48020	1.0	0.0	1.0	0.0	2.0	1.584962500721156	0.0	0.0	4
2894	2954	3028	3161	3901	AT1G48400	1.0	0.0	0.0	3.4594316186372973	0.0	1.0	0.0	4.0	4
2902	2962	3036	3169	3909	AT1G48470	1.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	4
2920	2980	3054	3187	3928	AT1G48640	1.0	0.0	1.584962500721156	1.584962500721156	0.0	0.0	0.0	1.0	4
2953	3013	3087	3222	3985	AT1G49220	1.584962500721156	1.0	1.0	0.0	1.584962500721156	0.0	0.0	0.0	4
2964	3024	3101	3236	4002	AT1G49390	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	4
3004	3066	3143	3281	4053	AT1G49900	2.0	2.3219280948873617	2.0	0.0	1.584962500721156	0.0	0.0	0.0	4
3019	3081	3158	3296	4069	AT1G50050	0.0	0.0	1.0	0.0	1.584962500721156	1.0	0.0	2.5849625007211556	4
