	Unnamed: 0	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
2341	2723	AT1G27330	8.912889336229961	9.794415866350104	8.997179480937621	8.233619676759702	9.879583249612784	7.7279204545632005	8.867278739709663	8.103287808412023	0
2342	2724	AT1G27340	9.019590728357883	8.839203788096944	10.422064766172811	9.714245517666123	10.117643101389092	9.084808387804364	8.243173983472952	9.930737337562887	0
2343	2725	AT1G27350	8.271463027904375	9.076815597050832	8.754887502163468	7.820178962415187	9.071462362556623	7.383704292474053	8.103287808412023	7.614709844115207	0
2344	2726	AT1G27360	8.087462841250339	6.78135971352466	9.517669388133813	6.554588851677637	9.194756854422248	8.707359132080883	6.7414669864011465	6.6293566200796095	0
2345	2727	AT1G27370	6.6865005271832185	6.8826430493618425	8.618385502258606	7.734709620225838	7.9886846867721655	8.016808287686555	5.977279923499918	7.467605550082997	0
2346	2728	AT1G27380	1.0	1.0	1.0	0.0	0.0	1.584962500721156	1.584962500721156	0.0	3
2347	2729	AT1G27385	8.294620748891628	8.960001932068081	9.38586240064146	8.344295907915816	9.54882190845875	8.43879185257826	8.303780748177102	8.209453365628951	0
2348	2730	AT1G27390	7.5774288280357505	7.90086680798075	8.675957032941751	8.59245703726808	8.290018846932618	7.434628227636725	6.820178962415187	8.271463027904375	0
2349	2731	AT1G27400	8.861086905995395	8.81698362325538	10.25502856981873	10.646558710154547	9.779719355143405	8.599912842187129	8.049848549450562	10.355351096424812	0
2350	2732	AT1G27410	5.954196310386875	6.475733430966398	6.7142455176661215	7.366322214245818	6.894817763307944	5.7279204545632005	6.209453365628951	7.257387842692652	0
2351	2733	AT1G27420	4.857980995127573	5.584962500721158	5.20945336562895	6.658211482751795	6.066089190457772	4.643856189774724	4.954196310386875	6.507794640198697	0
2352	2734	AT1G27430	9.778077129535358	9.933690654952233	10.942514505339242	10.671541066711882	10.829722735086056	9.918863237274595	9.236014191900084	10.804937672051908	0
2353	2735	AT1G27435	6.442943495848727	6.857980995127572	7.832890014164741	8.209453365628951	7.768184324776926	6.820178962415187	6.087462841250337	7.924812503605782	0
2354	2736	AT1G27440	6.108524456778167	6.539158811108031	7.076815597050833	6.820178962415187	7.434628227636725	6.066089190457772	5.554588851677637	7.098032082960527	0
2355	2737	AT1G27450	9.888743248898258	9.426264754702098	10.553629293916364	10.088788238716909	10.90312867681232	9.147204924942226	8.573647187493322	9.90388184573618	0
2356	2738	AT1G27460	6.3923174227787625	6.554588851677637	7.266786540694902	8.78135971352466	7.011227255423254	6.357552004618085	6.658211482751795	7.257387842692652	0
2357	2740	AT1G27470	6.977279923499918	7.754887502163467	8.459431618637296	9.184875342908283	8.103287808412023	6.7414669864011465	6.8826430493618425	9.357552004618084	0
2358	2741	AT1G27480	9.703903573444665	8.179909090014933	11.084808387804364	9.667111542075027	10.755722153642283	9.924812503605779	8.233619676759702	8.90388184573618	0
2359	2743	AT1G27500	5.169925001442311	4.857980995127573	6.442943495848727	7.189824558880018	6.339850002884624	4.857980995127573	4.754887502163468	7.055282435501192	0
2360	2744	AT1G27510	9.417852514885896	9.283088353024002	10.783816759320183	11.466586337719244	10.360847084179664	9.702172685365547	8.675957032941751	11.59105477403678	0
2361	2745	AT1G27520	9.139551352398792	9.044394119358452	10.186114239541645	11.332596057789214	10.314016703901355	9.400879436282183	8.60733031374961	11.679040186393065	0
2362	2746	AT1G27530	9.055282435501187	9.729620743553038	10.393390457443989	10.413627929024171	10.220378327695226	9.407267764244732	8.864186144654278	10.44086916761087	0
2363	2748	AT1G27540	6.6293566200796095	7.417852514885897	7.523561956057013	8.280770770130601	7.807354922057604	6.7279204545632005	6.491853096329675	8.199672344836364	0
2364	2753	AT1G27580	1.0	3.0	2.0	2.0	3.169925001442312	2.0	1.584962500721156	0.0	1
2365	2754	AT1G27595	9.03342300153745	8.912889336229961	10.506803437795648	10.323054760341646	9.92184093707449	9.381542951184583	8.179909090014933	10.370687406807216	0
2366	2755	AT1G27600	7.86418614465428	8.434628227636725	8.714245517666122	9.93810932621924	8.854868383260236	7.754887502163467	7.845490050944375	10.121533517340033	0
2367	2757	AT1G27620	1.584962500721156	1.584962500721156	3.0	3.0	2.584962500721156	1.584962500721156	0.0	2.3219280948873617	1
2368	2758	AT1G27630	7.813781191217037	7.434628227636725	7.3923174227787625	8.894817763307943	8.939579214314692	6.614709844115208	6.918863237274595	8.679480099505446	0
2369	2759	AT1G27640	3.3219280948873617	3.0	4.247927513443585	6.539158811108031	4.523561956057013	4.0	2.3219280948873617	6.7142455176661215	0
